,id,hip,hd,ra,dec,dist,pmra,pmdec,rv,mag,absmag,spect,ci,x,y,z,vx,vy,vz,rarad,decrad,pmrarad,pmdecrad,con,comp,comp_primary,lum
68757,68757,68977.0,123165.0,14.121909,-49.662184,359.7122,-5.4,-10.25,0.0,8.2,0.42,K1III,1.178,-197.82699,-122.79483300000001,-274.187486,6.61e-06,1.519e-05,-1.157e-05,3.697107192925536,-0.8667686278172675,-2.617993875e-08,-4.9693402e-08,Cen,1,68757,59.1561634175474
68767,68767,68987.0,123642.0,14.123907,52.753039,169.7793,23.07,-12.22,0.0,8.43,2.281,F8,0.528,-87.278848,-54.238918999999996,135.150114,3.22e-06,-2.035e-05,-6.09e-06,3.697630142657016,0.9207142206129788,1.1184651610416667e-07,-5.9244231e-08,Boo,1,68767,10.656142021585186
68783,68783,69003.0,123328.0,14.126764000000001,-32.078301,122.8501,-2.87,-5.32,0.0,9.59,4.143,G2/G3V,0.588,-88.371228,-55.009367000000005,-65.242951,5.3e-07,2.34e-06,-2.68e-06,3.698378163251165,-0.5598719746807613,-1.3914152631944445e-08,-2.5792087e-08,Cen,1,68783,1.9177853644826532
68800,68800,69020.0,122455.0,14.129704,-79.25151899999999,295.858,-39.64,-12.55,0.0,7.92,0.565,K0III,1.135,-46.820661,-29.194496,-290.667272,-1.508e-05,5.76e-05,-3.36e-06,3.6991478144237484,-1.3831999403860151,-1.9218014297222225e-07,-6.0844116e-08,Aps,1,68800,51.76068319505679
68814,68814,69034.0,123413.0,14.131691,-21.195328,414.9378,5.99,-18.34,28.0,8.09,0.0,K0II/III,0.9890000000000001,-328.171489,-204.868213,-150.02024699999998,-4.95e-06,-1.73e-05,-4.475e-05,3.69966814510297,-0.36992825500475374,2.9040339465277785e-08,-8.8914829e-08,Vir,1,68814,87.09635899560806
68825,68825,69045.0,123692.0,14.132748000000001,45.927706,163.1321,-35.58,5.48,0.0,8.88,2.8169999999999997,F8,0.518,-96.236464,-60.114633,117.204333,-1.227e-05,2.551e-05,3.01e-06,3.6999448306538087,0.8015896844681537,-1.7249670754166667e-07,2.6567789e-08,Boo,1,68825,6.504291550788009
68845,68845,69065.0,123151.0,14.137301,-63.20795,112.4859,19.17,35.26,39.0,6.39,1.135,G8/K0III,1.013,-42.971123,-26.913504,-100.410667,-2.423e-05,-2.751e-05,-2.694e-05,3.7011367862143474,-1.1031868452285991,9.29387825625e-08,1.7094530300000001e-07,Cen,1,68845,30.61963433690677
68857,68857,69078.0,123428.0,14.13936,-33.052943,194.9318,-36.45,-12.64,-32.5,7.26,0.8109999999999999,K0III,1.02,-138.421706,-86.799409,-106.31832800000001,1.082e-05,4.744e-05,8.12e-06,3.7016758427473673,-0.5768826892039287,-1.767145865625e-07,-6.1280449e-08,Cen,1,68857,41.26672463229361
68875,68875,69095.0,122943.0,14.143297,-73.408004,157.7287,-63.3,-44.05,0.0,9.59,3.6,F8V,0.667,-38.133979,-23.966929999999998,-151.16126699999998,1.57e-06,5.816e-05,-9.62e-06,3.702706389738226,-1.2812113676537276,-3.0688705979166663e-07,-2.1356042600000002e-07,Aps,1,68875,3.1622776601683777
68888,68888,69108.0,123458.0,14.146536,-39.590656,160.5136,28.2,-18.58,0.0,9.4,3.372,F3V,0.45,-104.671706,-65.910341,-102.295047,1.949e-05,-1.366e-05,-1.114e-05,3.7035544512777565,-0.6909872941858337,1.3671745791666666e-07,-9.007838099999999e-08,Cen,1,68888,3.9012160295267577
68900,68900,69120.0,123171.0,14.148886,-68.14049,149.2537,-65.96,-21.46,0.0,7.57,1.7,K2III,1.2229999999999999,-47.007515000000005,-29.640053,-138.522301,-1.327e-05,4.806e-05,-5.78e-06,3.7041695968978425,-1.1892759043588812,-3.197831036944444e-07,-1.04041015e-07,Cir,1,68900,18.197008586099827
68912,68912,69132.0,123560.0,14.150799,-27.195296000000003,219.2982,-33.06,-18.82,0.0,8.15,1.445,G6IV,0.885,-164.942231,-104.118983,-100.22474100000001,-1.103e-05,3.46e-05,-1.78e-05,3.7046704375552255,-0.4746474643669225,-1.6027940279166664e-07,-9.124193400000002e-08,Hya,1,68912,23.01441817408508
68926,68926,69146.0,124169.0,14.155531,65.558464,302.1148,-10.53,13.25,0.0,8.35,0.9490000000000001,K2,1.103,-105.623028,-66.8571,275.040463,6.68e-06,2.248e-05,8.03e-06,3.705909356304795,1.144211049080855,-5.10508805625e-08,6.4237812e-08,UMi,1,68926,36.34126160642229
68940,68940,69161.0,124290.0,14.157370000000002,69.59044399999999,187.6173,-27.22,13.51,0.0,7.33,0.9640000000000001,B9,-0.03,-55.266442000000005,-35.019637,175.839406,-3.52e-06,2.708e-05,4.29e-06,3.706390914295016,1.2145823681103702,-1.319662838472222e-07,6.5498328e-08,UMi,1,68940,35.84264080437145
68955,68955,69175.0,123550.0,14.159841,-47.473944,120.4819,4.78,-24.41,0.0,8.23,2.825,G8III,0.86,-68.761154,-43.63316,-88.79154799999999,1.037e-05,3.27e-06,-9.64e-06,3.7070378117733216,-0.8285766275014163,2.317409393055556e-08,-1.1834301899999999e-07,Cen,1,68955,6.456542290346554
68967,68967,69187.0,123879.0,14.162918,19.74016,278.5515,-35.96,-4.35,0.0,7.75,0.525,K0,1.29,-221.26032599999996,-140.65329599999998,94.082181,-2.772e-05,3.991e-05,-5.53e-06,3.7078433755337534,0.3445307804677938,-1.7433899952777774e-07,-2.1089395e-08,Boo,1,68967,53.70317963702525
68980,68980,69200.0,123702.0,14.167596,-36.993941,89.3655,17.86,-13.69,0.0,7.87,3.114,A7III+...,0.345,-60.188692,-38.365035,-53.773953000000006,7.17e-06,-4.61e-06,-4.74e-06,3.70906798964258,-0.6456660777461801,8.658772334722223e-08,-6.6370992e-08,Cen,1,68980,4.9476617368167615
68992,68992,69213.0,123746.0,14.170288000000001,-30.620953999999998,127.551,-48.36,-27.11,0.0,6.77,1.242,A2IV/V,0.111,-92.518716,-59.064273,-64.968888,-8.89e-06,2.98e-05,-1.443e-05,3.709772774510911,-0.534436462038645,-2.344558959166667e-07,-1.3143298800000002e-07,Cen,1,68992,27.745975598804154
69005,69005,69227.0,124085.0,14.173834,39.526295000000005,96.0615,-1.66,-44.86,0.0,7.97,3.057,K0,0.983,-62.416587,-39.928596999999996,61.136639,-1.162e-05,-6.51e-06,-1.611e-05,3.710701048580813,0.6898639819851012,-8.047907097222222e-09,-2.17487417e-07,Boo,1,69005,5.214347854144577
69021,69021,69243.0,123467.0,14.175542000000002,-66.60285,211.8644,-32.92,-16.89,0.0,8.4,1.77,A1V,0.249,-70.850937,-45.368590000000005,-194.443718,-4.83e-06,3.706e-05,-6.89e-06,3.7111481354941933,-1.1624390264940123,-1.5960066363888894e-07,-8.188503000000001e-08,Cir,1,69021,17.060823890031234
69041,69041,69263.0,123835.0,14.179616000000001,-37.017726,205.7613,-0.83,-4.19,0.0,8.53,1.963,K4III,1.5019999999999998,-138.260706,-88.742149,-123.881074,1.67e-06,2.06e-06,-3.34e-06,3.7122146957904074,-0.6460811947448137,-4.023953548611111e-09,-2.0313692999999997e-08,Cen,1,69041,14.282360800191825
